ID,Text,Comment
AnalyticsConsent.Agree,"Igen, hozzájárulok",
AnalyticsConsent.Disagree,"Nem, nem járulok hozzá",
AnalyticsConsent.Header,"Játékstatisztika gyűjtés",Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"Kérünk, segíts nekünk a játék jobbá tételében azzal, hogy megosztod velünk, hogyan játszol a Timberbornnal.

Beleegyezésed esetén a Timberborn automatikusan játékstatisztikai adatokat gyűjt, amíg játszol.

Beleegyezésedet bármikor visszavonhatod a játék beállításaiban, és törölheted az összegyűjtött adatokat. További információért kérlek olvasd el <link><u>adatvédelmi irányelveinket</u></link>.

Köszönjük!",
Attractions.LoadRate,Népszerűség,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,Látogatók,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Kapacitás: {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Success,Automatikus mentés,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
Autosave.Failure,Az automatikus mentés nem sikertült,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,"Az automatikus mentés nem sikerült, mert nincs elegendő lemezterület",Notification on top of the window when autosave failed. It disappears after 10 seconds
BatchControl.Distribution,Elosztás,Title of the distribution panel
BatchControl.Housing,Lakhatás,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,Hajtás,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,Vándorlás,Title of migration panel
BatchControl.NoDistrict,Nincs kiválasztott kerület.,Shown when no district is selected on some batch control tabs
BatchControl.Population,Népesség,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,Település kezelése,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,Raktározás,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,Munkahelyek,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.PrefabName,Felnőtt hód,
Beaver.Adulthood,Növekedés,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,Kor: {0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.PrefabName,Hódkölyök,
Beaver.DeadNameSuffix,(halott),Preceded by beaver name and age
Beaver.DiedOldAge,{0} öregkorában meghalt.,{0} stands for beaver name
Beaver.Employment,Foglalkoztatás,Header of a section that tells of how many and where beavers are working
Beaver.GrewUp,{0} felnőtt.,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.House,{0}ban lakik.,{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Homeless,Hajléktalan,Signifies that the beaver has no home
Beaver.HomelessPlural,Hajléktalanok,Label before number of homeless beavers
Beaver.Launched,{0} tovarepült.,{0} stands for beaver name. A notification that a beaver has been launched in a plane.
Beaver.PluralDisplayName,Hódok,
Beaver.Population.Adults,Felnőttek,Label before number of adult beavers
Beaver.Population.Children,Kölykök,Label before number of kit beavers
Beaver.Population.ContaminatedAdults,Szennyezett felnőttek,"Label before number of adult beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Population.ContaminatedChildren,Szennyezett kölykök,"Label before number of children beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Population.Contaminated,Szennyezett,Header of the list of beavers contaminated by badwater. Should be similar or same as Need.BadwaterContamination.DisplayName
Beaver.Unemployed,Munkanélküli,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,Munkanélküliek,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,Munkahely: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
Bonus.CarryingCapacity,Szállító kapacitás,How much stuff a unit can carry
Bonus.CuttingSuccessChance,Vágási esély,Cutting chance when cutting down a tree
Bonus.GrowthSpeed,Növekedési sebesség,Speed at which young beavers grow up
Bonus.LifeExpectancy,Várható élettartam,The presumed length of beavers' life.
Bonus.MovementSpeed,Mozgási sebesség,"Describes how fast character can move (bonus to walking, running and swimming)."
