ID,Text,Comment
eMka.GoodStatistics.BatchControlKeyBinding,A készletstatisztika fül megnyitása,KeyBinding label
eMka.GoodStatistics.BatchControlTabName,Készletstatisztika,Name of the tab in settlement panel
eMka.GoodStatistics.DepletionDaysLeft,{0}ig tart még ki a készlet (becslés),"{0} stands for formatted Time.DaysShort, e.g. ""1d"" for 1 day"
eMka.GoodStatistics.GoodSampleTime,Mintavétel {0}val ezelőtt,"{0} stands for formatted Time.HoursShort, e.g. ""1h"" for 1 hour"
eMka.GoodStatistics.GrowingDaysLeft,{0} alatt telik fel a készlet (becslés),"{0} stands for formatted Time.DaysShort, e.g. ""1d"" for 1 day"
eMka.GoodStatistics.Settings.AnalyzeGoodsWithoutStockpiles,Tárolókapacitás nélküli áruk bevonása,
eMka.GoodStatistics.Settings.ConsecutiveMicroChangesThreshold,Egymást követő apró változás küszöb,
eMka.GoodStatistics.Settings.ConsecutiveMicroChangesThresholdTooltip,"Az egymást követő apró változások száma, ami már trendnek számít, de a lassú napi változás küszöb alatt van","Tooltip for ConsecutiveMicroChangesThreshold setting, text in the brackets should be the same as eMka.GoodStatistics.Settings.SlowChangeThreshold key"
eMka.GoodStatistics.Settings.EMAAnalyzerHeader,Exponenciális mozgóátlag elemzés,
eMka.GoodStatistics.Settings.FastChangeThreshold,Gyors napi változás küszöb,
eMka.GoodStatistics.Settings.IgnoreGoodsWithStorageLessThan,"Azon áruk figyelmen kívül hagyása, amiből kevesebb van, mint",
eMka.GoodStatistics.Settings.ModerateChangeThreshold,Közepes napi változás küszöb,
eMka.GoodStatistics.Settings.SamplesPerDay,Napi mintavételszám,
eMka.GoodStatistics.Settings.SamplesToAnalyze,Periódus szám,
eMka.GoodStatistics.Settings.BaseSettings,Alapbeállítások,
eMka.GoodStatistics.Settings.ShowTrendsOnTopBar,A trendek mutatása a felső sorban,
eMka.GoodStatistics.Settings.SlowChangeThreshold,Lassú napi változás küszöb,
