ID,Text,Comment
eMka.Minimap.Settings.BlockObjectColor,"Objektum",Object
eMka.Minimap.Settings.BuildingColor,"Épület",Building
eMka.Minimap.Settings.ChunkSize,"Csempeméret",Chunk size
eMka.Minimap.Settings.ChunkSizeTooltip,"Egyszerre ekkora csempét dolgozunk fel kirajzoláskor.
Kisebb csempeméret esetén a kistérkép lassabban frissül, de ez segíthet teljesítményproblémák kiküszöbölésében.","The size of the chunks that the minimap is divided into for rendering.
Lower values will cause the minimap to render slower, but may help with performance issues."
eMka.Minimap.Settings.Colors,"Színek",Colors
eMka.Minimap.Settings.DeadPlantColor,"Elpusztult növény",Dead plant
eMka.Minimap.Settings.DeadTreeColor,"Elpusztult fa",Dead tree
eMka.Minimap.Settings.DeepBadwaterColor,"Mély rosszvíz",Deep badwater
eMka.Minimap.Settings.DeepWaterColor,"Mély víz",Deep water
eMka.Minimap.Settings.DisableSize,"Ne mutassa a kistérképet olyan térkép esetében, melynek oldala kisebb ennél",Don't show minimap for maps with sides smaller than
eMka.Minimap.Settings.GeneralSettings,"Általános",General
eMka.Minimap.Settings.HighestGrassColor,"Magasan fekvő fű",Highest grass
eMka.Minimap.Settings.HighestTerrainColor,"Magasan fekvő terep",Highest terrain
eMka.Minimap.Settings.LowestGrassColor,"Alacsonyan fekvő fű",Lowest grass
eMka.Minimap.Settings.LowestTerrainColor,"Alacsonyan fekvő terep",Lowest terrain
eMka.Minimap.Settings.MinimapRotation,"Kistérkép forgatása",Rotate minimap
eMka.Minimap.Settings.MinimapRotationHeader,"Forgatás",Minimap rotation
eMka.Minimap.Settings.PathColor,"Ösvény",Path
eMka.Minimap.Settings.PlantColor,"Növény",Plant
eMka.Minimap.Settings.ShallowBadwaterColor,"Sekély rosszvíz",Shallow badwater
eMka.Minimap.Settings.ShallowWaterColor,"Sekély víz",Shallow water
eMka.Minimap.Settings.TreeColor,"Fa",Tree
eMka.Minimap.Settings.WaterPlantColor,"Vízi növény",Water plant,
